VILLE;DEPARTEMENT;CODE INSEE;NOM DU SITE;GROUPE DE DECHETS;SOUS-GROUPE DE DECHETS;DESCRIPTION PHYSIQUE;CATEGORIE;FAMILLE IN;VOLUME EQUIVALENT CONDITIONNE;MAJORATION;ACTIVITE ( Bq);PRINCIPAUX RADIONUCLEIDES
AMBERIEU-EN-BUGEY;1;01004;ARMEE DE L'AIR - BA 278 AMBERIEU;Cadrans, indicateurs;;Altimètre(0,008 m3 - 1 t - 1 unite);AUTRES;S02;-;;1000;232Th
AMBERIEU-EN-BUGEY;1;01004;ARMEE DE L'AIR - BA 278 AMBERIEU;Cadrans, indicateurs;;Anémomètre(0,008 m3 - 1 t - 1 unite);AUTRES;S02;-;;1000;232Th
AMBERIEU-EN-BUGEY;1;01004;ARMEE DE L'AIR - BA 278 AMBERIEU;Tubes électroniques;Tube 6334 Microwave Associates;Tube 6334 Microwave Associates(0,002 m3 - 1 unite);AUTRES;S01;-;;1000000;
AMBERIEU-EN-BUGEY;1;01004;ARMEE DE L'AIR - BA 278 AMBERIEU;Tubes électroniques;Tube 6334 PENTA Laboratories;Tube 6334 PENTA Laboratories(0,024 m3 - 12 unite);AUTRES;S01;-;;1000000;3H
AMBERIEU-EN-BUGEY;1;01004;ARMEE DE L'AIR - BA 278 AMBERIEU;Tubes électroniques;Tube 6334 THOMSON;Tube 6334 THOMSON(0,018 m3 - 9 unite);AUTRES;S01;-;;1000000;3H
AMBERIEU-EN-BUGEY;1;01004;ARMEE DE L'AIR - BA 278 AMBERIEU;Tubes électroniques;Tube électronique TH2611;Tube TH2611 THOMSON(0,024 m3 - 1 t - 1 1);AUTRES;S01;-;;1000000;
AMBERIEU-EN-BUGEY;1;01004;ARMEE DE L'AIR - BA 278 AMBERIEU;Tubes électroniques;Tube F 3003;Tube F 3003(0,051 m3 - 0,23529411764706 t - 6 unite);AUTRES;S01;-;;1000000;"235U;238U"
AMBERIEU-EN-BUGEY;1;01004;ARMEE DE L'AIR - BA 278 AMBERIEU;Tubes électroniques;Tube F 3004A;Tube F 3004A(0,425 m3 - 0,029411764705882 t - 5 unite);AUTRES;S01;-;;1000000;
AMBERIEU-EN-BUGEY;1;01004;ARMEE DE L'AIR - BA 278 AMBERIEU;Tubes électroniques;Tube F 3027 A THOMSON;Tube F 3027 A THOMSON(0,024 m3 - 1 unite);AUTRES;S01;-;;1000000;3H
AMBERIEU-EN-BUGEY;1;01004;ARMEE DE L'AIR - BA 278 AMBERIEU;Tubes électroniques;Tube OA2 WA  SYLVANIA;Tube électronique OA2WA SYLVANIA(0,00004 m3 - 1 unite);AUTRES;S01;-;;1000000;
AMBERIEU-EN-BUGEY;1;01004;ARMEE DE L'AIR - BA 278 AMBERIEU;Tubes électroniques;Tube OA2 WA CSF;Tube électronique radar OA2 WA CSF(0,00004 m3 - 1 unite);AUTRES;S01;-;;1000000;
AMBERIEU-EN-BUGEY;1;01004;ARMEE DE L'AIR - BA 278 AMBERIEU;Tubes électroniques;Tube OA2 WA MAZDA;Tube électronique OA2 WA MAZDA(0,00012 m3 - 3 unite);AUTRES;S01;-;;1000000;
AMBERIEU-EN-BUGEY;1;01004;ARMEE DE L'AIR - BA 278 AMBERIEU;Tubes électroniques;Tube OA2 WA RTC;Tube OA2 WA RTC(0,00004 m3 - 1 unite);AUTRES;S01;-;;1000000;"228Th;232Th"
AMBERIEU-EN-BUGEY;1;01004;ARMEE DE L'AIR - BA 278 AMBERIEU;Tubes électroniques;Tube OA2 WA THOMSON;Tube OA2 WA THOMSON(10 unite);AUTRES;S01;-;;1000000;3H
