Geo Point;Geo Shape;id_geofla;code_comm;insee_com;nom_comm;statut;x_chf_lieu;y_chf_lieu;x_centroid;y_centroid;z_moyen;superficie;population;code_cant;code_arr;code_dept;nom_dept;code_reg;nom_region;codgeo;reg;dep;cv;ze2010;libgeo;id_modif_g;p11_tot;p06_tot;p11_0014;p11_1529;p11_3044;p11_4559;p11_6074;p11_75p;p06_0014;p06_1529;p06_3044;p06_4559;p06_6074;p06_75p;dens_poptt;dens_pop75
48.7545426489, 1.83436184333;"{""type"": ""Polygon"", ""coordinates"": [[[1.853274633026586, 48.74981420265586], [1.821116845212424, 48.74024506888998], [1.809060105596747, 48.746520934044], [1.821404572664602, 48.755818382148234], [1.819817223111337, 48.76465376601626], [1.825292300117957, 48.76804485838343], [1.83904999529397, 48.76433854789556], [1.848403460939435, 48.766533905418676], [1.858964194445603, 48.75960125488152], [1.853274633026586, 48.74981420265586]]]}";27398;398;78398;LES MESNULS;Commune simple;6145;68513;6143;68511;138;659;0.9;15;2;78;YVELINES;11;ILE-DE-FRANCE;78398;11;78;7815;1109;Les Mesnuls;ZZZZZZ;863.0;879.0;140.0;123.0;135.0;234.0;176.0;54.0;172.0;122.0;131.0;261.0;145.0;47.0;131.0;8.3
48.716019265, 1.8952517006;"{""type"": ""Polygon"", ""coordinates"": [[[1.937892291577653, 48.68773906360831], [1.914044602702937, 48.70101728846284], [1.869116263708722, 48.70734630184376], [1.869357387708777, 48.71064986079133], [1.837866543648192, 48.720934736125486], [1.853383381778659, 48.733093409978295], [1.873847304632018, 48.732514659977774], [1.903288569671576, 48.73824879310437], [1.906655067175229, 48.73529332742382], [1.903472093402419, 48.72238316431434], [1.937525016996268, 48.717842844403], [1.937580262825235, 48.71111496745571], [1.941924979866691, 48.709336552451646], [1.939710286457771, 48.70059153152985], [1.943273386565221, 48.695082067114726], [1.937892291577653, 48.68773906360831]]]}";16709;220;78220;LES ESSARTS-LE-ROI;Commune simple;6186;68468;6187;68467;171;1956;6.3;18;2;78;YVELINES;11;ILE-DE-FRANCE;78220;11;78;7818;1112;Les Essarts-le-Roi;ZZZZZZ;6298.0;6123.0;1242.0;1081.0;1279.0;1467.0;871.0;357.0;1223.0;1049.0;1293.0;1460.0;808.0;290.0;322.0;18.3
49.0484754419, 1.84836541189;"{""type"": ""Polygon"", ""coordinates"": [[[1.851334192847755, 49.033363151431224], [1.831609418748065, 49.035924620125535], [1.841728787894151, 49.05194855873748], [1.837604110887073, 49.05834736170107], [1.841384767789283, 49.05939103805058], [1.841442171910722, 49.06478706307344], [1.865468735080899, 49.057471680092725], [1.851334192847755, 49.033363151431224]]]}";29341;317;78317;JAMBVILLE;Commune simple;6161;68835;6158;68837;117;491;0.8;10;1;78;YVELINES;11;ILE-DE-FRANCE;78317;11;78;7810;1119;Jambville;ZZZZZZ;826.0;754.0;211.0;129.0;177.0;175.0;110.0;25.0;209.0;105.0;182.0;155.0;78.0;25.0;168.2;5.1
49.0479974948, 1.57232432462;"{""type"": ""Polygon"", ""coordinates"": [[[1.561891430293968, 49.03513778767699], [1.546451631766817, 49.03650771745298], [1.531748383328531, 49.04662607895661], [1.53316530291559, 49.0478035096257], [1.543310858101397, 49.04021983244133], [1.548020032349647, 49.041562885951166], [1.580968316603632, 49.06229892535921], [1.595250535794248, 49.06046133803797], [1.599281739837254, 49.05459105003722], [1.582984035450746, 49.042610024329406], [1.561891430293968, 49.03513778767699]]]}";32969;057;78057;BENNECOURT;Commune simple;5948;68832;5956;68840;52;690;1.8;02;1;78;YVELINES;11;ILE-DE-FRANCE;78057;11;78;7802;1110;Bennecourt;ZZZZZZ;1812.0;1763.0;379.0;246.0;366.0;454.0;239.0;129.0;374.0;311.0;396.0;409.0;193.0;79.0;262.6;18.7
48.9204900199, 1.66289347528;"{""type"": ""Polygon"", ""coordinates"": [[[1.662852730924199, 48.903766350782156], [1.65836193447748, 48.9075566121105], [1.655146348908742, 48.912665161880206], [1.645334772309477, 48.92159361348226], [1.657791058791144, 48.92651859095896], [1.660186183674842, 48.932625276355374], [1.673836359984268, 48.933181835955374], [1.676444670242689, 48.92294864776482], [1.666605004512625, 48.91227160539353], [1.667183098127121, 48.90621604261351], [1.662852730924199, 48.903766350782156]]]}";35666;072;78072;BOINVILLIERS;Commune simple;6018;68694;6020;68697;125;360;0.3;07;1;78;YVELINES;11;ILE-DE-FRANCE;78072;11;78;7807;1110;Boinvilliers;ZZZZZZ;264.0;266.0;46.0;43.0;59.0;58.0;40.0;17.0;55.0;45.0;61.0;65.0;28.0;12.0;73.3;4.7
48.8331353956, 1.66523067684;"{""type"": ""Polygon"", ""coordinates"": [[[1.656204439236227, 48.82148255677472], [1.65207356555528, 48.82319903965985], [1.658914411297187, 48.841634144432746], [1.670258449557493, 48.84458509203038], [1.676740332424351, 48.84048348122115], [1.677094539458584, 48.831897521801636], [1.672430445187565, 48.82672785375074], [1.656204439236227, 48.82148255677472]]]}";20356;605;78605;TACOIGNIERES;Commune simple;6027;68603;6020;68600;135;321;1.0;08;1;78;YVELINES;11;ILE-DE-FRANCE;78605;11;78;7808;1109;Tacoignières;ZZZZZZ;1058.0;1023.0;225.0;166.0;217.0;247.0;138.0;65.0;236.0;154.0;238.0;240.0;98.0;57.0;329.6;20.2
48.8080583549, 1.72531897998;"{""type"": ""Polygon"", ""coordinates"": [[[1.729075343879845, 48.79819138392437], [1.727099215410123, 48.79826929651627], [1.703062075933055, 48.79960296226489], [1.704489067221031, 48.8019031350626], [1.705129436928556, 48.81175939998037], [1.713343374151284, 48.81555392354547], [1.733221739954674, 48.820875176606734], [1.745921049517245, 48.809936602089664], [1.748342357999579, 48.80324290760821], [1.729075343879845, 48.79819138392437]]]}";23450;404;78404;MILLEMONT;Commune simple;6077;68573;6063;68571;150;580;0.3;15;2;78;YVELINES;11;ILE-DE-FRANCE;78404;11;78;7815;1109;Millemont;ZZZZZZ;248.0;241.0;48.0;27.0;40.0;68.0;46.0;19.0;44.0;37.0;58.0;57.0;34.0;12.0;42.8;3.3
48.8952160961, 1.74614665372;"{""type"": ""Polygon"", ""coordinates"": [[[1.748323291171619, 48.87949775128857], [1.722083822131131, 48.88960877116482], [1.727370012101255, 48.89877606727875], [1.748978834096256, 48.91124450565141], [1.756990862240175, 48.90771236948403], [1.761479140954789, 48.90888309965742], [1.762304075572208, 48.89943901098227], [1.770432297410548, 48.896069058201405], [1.748323291171619, 48.87949775128857]]]}";33711;300;78300;HARGEVILLE;Commune simple;6076;68663;6080;68668;141;697;0.4;07;1;78;YVELINES;11;ILE-DE-FRANCE;78300;11;78;7807;1111;Hargeville;ZZZZZZ;409.0;370.0;98.0;52.0;108.0;83.0;52.0;16.0;77.0;60.0;99.0;76.0;42.0;16.0;58.7;2.3
49.0616626708, 1.92659421162;"{""type"": ""Polygon"", ""coordinates"": [[[1.914067826299746, 49.0458349640582], [1.908522501973711, 49.048023828034744], [1.899332340703316, 49.065295311866436], [1.904458855746953, 49.074622195242725], [1.916637081660879, 49.068240185028294], [1.927023172868136, 49.0683063934354], [1.941797479772908, 49.0712969304419], [1.953222986701709, 49.07821305356477], [1.958744811233292, 49.07180465042483], [1.941478779774771, 49.056061203664115], [1.940368024644921, 49.052832146850896], [1.944537530003124, 49.05098045300252], [1.936473993559987, 49.04857130852809], [1.917817015119285, 49.05169590522503], [1.914067826299746, 49.0458349640582]]]}";14683;348;95348;LONGUESSE;Commune simple;6219;68852;6215;68851;90;853;0.5;27;3;95;VAL-D'OISE;11;ILE-DE-FRANCE;95348;11;95;9527;1119;Longuesse;ZZZZZZ;532.0;527.0;96.0;93.0;92.0;150.0;75.0;26.0;108.0;94.0;112.0;137.0;55.0;21.0;62.4;3.0
48.7004093953, 2.18737051177;"{""type"": ""Polygon"", ""coordinates"": [[[2.204707084431247, 48.69106715029335], [2.190173243033869, 48.68732637384656], [2.181827592750016, 48.67891300348443], [2.174850051799166, 48.690693410897715], [2.165981212247246, 48.69476042490857], [2.175163690695225, 48.69578674190523], [2.170751870951656, 48.70665800498368], [2.171682801665039, 48.71480481593371], [2.19347963409199, 48.718695966744626], [2.192794946986925, 48.71198122029821], [2.209710850465964, 48.70158848981471], [2.204707084431247, 48.69106715029335]]]}";29369;471;91471;ORSAY;Chef-lieu canton;6402;68445;6401;68447;113;766;16.0;21;3;91;ESSONNE;11;ILE-DE-FRANCE;91471;11;91;9121;1116;Orsay;ZZZZZZ;15903.0;16597.0;2504.0;4014.0;2756.0;3028.0;2133.0;1469.0;2680.0;4478.0;2941.0;3114.0;2174.0;1211.0;2076.1;191.7
